landuse	x.axis	y.axis	S_Series	Sam_Dist	type	Sam_Depth	Latitude	Longitude	Elevation	gravimetric	bd	Total_N	Total_C 	OM	C_N	Lat	Long	Elev2	Code_x.y	
Grassland	60	90	PenB	30	Grid	(0-15)	40.54232° N	74.65300° W	-4.6941	0.25	1.469	0.164	1.717	2.960	10.470	40.54232° N	74.65300° W	28.7245	Q3 / A-90	
Grassland	90	90	PenB	30	Grid	(0-15)	40.54232° N	74.65265° W	-5.1975	0.24	1.540	0.147	1.382	2.383	9.401	40.54232° N	74.65265° W	28.2204	Q5 / A-90	
Grassland	120	90	PenB	30	Grid	(0-15)	40.54232° N	74.65229° W	-5.3369	0.28	1.353	0.207	2.203	3.798	10.643	40.54232° N	74.65229° W	28.0803	R2 / A-90	
Grassland	210	90	PenB	30	Grid	(0-15)	40.54232° N	74.65123° W	-7.374	0.30	1.354	0.140	1.411	2.433	10.079	40.54232° N	74.65123° W	26.0411	S1 / A-90	
Grassland	120	330	PenB	30	Grid	(0-15)	40.54419° N	74.65228° W	-0.7788	0.28	1.044	0.208	2.219	3.826	10.668	40.54419° N	74.65228° W	32.6373	R2 / B-330	
Grassland	270	390	PenB	30	Grid	(0-15)	40.54465° N	74.65051° W	-0.4715	0.23	1.296	0.140	1.329	2.291	9.493	40.54465° N	74.65051° W	32.9409	S5 / B-390	
Grassland	300	390	PenB	30	Grid	(0-15)	40.54465° N	74.65015° W	-0.8048	0.19	1.313	0.157	1.493	2.574	9.510	40.54465° N	74.65015° W	32.6069	T1 / B-390	
Grassland	360	450	PenB	30	Grid	(0-15)	40.54512° N	74.64944° W	-0.3358	0.29	1.245	0.158	1.443	2.488	9.133	40.54512° N	74.64944° W	33.0742	T5 / C-450	
Grassland	420	450	PenB	30	Grid	(0-15)	40.54512° N	74.64873° W	-1.1727	0.24	1.388	0.142	1.423	2.453	10.021	40.54512° N	74.64873° W	32.2358	U2 / C-450	
Grassland	480	510	PenB	30	Grid	(0-15)	40.54558° N	74.64802° W	-1.1657	0.24	1.297	0.145	1.370	2.362	9.448	40.54558° N	74.64802° W	32.2412	U6 / C-510	
Grassland	30	570	PenB	30	Grid	(0-15)	40.54607° N	74.65333° W	-7.1212	0.22	1.393	0.164	1.486	2.562	9.061	40.54607° N	74.65333° W	26.296	Q1 / C-570	
Grassland	150	630	PenB	30	Grid	(0-15)	40.54653° N	74.65191° W	-4.9943	0.21	1.428	0.169	1.719	2.964	10.172	40.54653° N	74.65191° W	28.4197	R4 / D-630	
Grassland	210	630	PenB	30	Grid	(0-15)	40.54653° N	74.65121° W	-4.7607	0.22	1.472	0.172	1.707	2.943	9.924	40.54653° N	74.65121° W	28.6519	S1 / D-630	
Grassland	210	690	PenB	30	Grid	(0-15)	40.54700° N	74.65120° W	-5.695	0.22	1.430	0.156	1.584	2.731	10.154	40.54700° N	74.65120° W	27.7174	S1 / D-690	
Grassland	420	690	PenB	30	Grid	(0-15)	40.54699° N	74.64872° W	-7.8014	0.24	1.199	0.154	1.446	2.493	9.390	40.54699° N	74.64872° W	25.6061	U2 / D-690	
Grassland	270	750	PenB	30	Grid	(0-15)	40.54746° N	74.65049° W	-6.0734	0.21	1.188	0.179	1.691	2.916	9.447	40.54746° N	74.65049° W	27.3373	S5 / D-750	
Grassland	165	60	PenB	30	Grid	(0-15)	40.54208° N	74.65176° W	-5.7134	0.37	1.217	0.158	1.537	2.650	9.728	40.54208° N	74.65176° W	27.7029	R5 / A-60	
